match week,date,home team name,away team name,home final score,away final score,home goal times,away goal times
4,160910,Arsenal FC,Southampton FC,2,1,"['29', '90']",['18']
4,160910,Burnley FC,Hull City,1,1,['72'],['90']
4,160910,Middlesbrough FC,Crystal Palace,1,2,['38'],"['16', '47']"
4,160910,Stoke City,Tottenham Hotspur,0,4,[],"['41', '56', '59', '70']"
4,160910,West Ham United,Watford FC,2,4,"['5', '33']","['41', '45', '53', '63']"
4,160910,Liverpool FC,Leicester City,4,1,"['13', '31', '56', '89']",['38']
4,160911,Swansea City,Chelsea FC,2,2,"['59', '62']","['18', '81']"
4,160912,Sunderland AFC,Everton FC,0,3,[],"['60', '68', '71']"
5,160916,Chelsea FC,Liverpool FC,1,2,['61'],"['17', '36']"
5,160917,Hull City,Arsenal FC,1,4,['79'],"['17', '55', '83', '90']"
5,160917,Leicester City,Burnley FC,3,0,"['45', '48', '78']",[]
5,160917,Manchester City,AFC Bournemouth,4,0,"['15', '25', '48', '66']",[]
5,160917,West Bromwich Albion,West Ham United,4,2,"['8', '37', '44', '56']","['61', '65']"
5,160917,Everton FC,Middlesbrough FC,3,1,"['24', '42', '45']",['21']
5,160918,Watford FC,Manchester United,3,1,"['34', '83', '90']",['62']
5,160918,Crystal Palace,Stoke City,4,1,"['9', '11', '71', '75']",['90']
5,160918,Southampton FC,Swansea City,1,0,['64'],[]
5,160918,Tottenham Hotspur,Sunderland AFC,1,0,['59'],[]
6,160924,Manchester United,Leicester City,4,1,"['23', '37', '40', '42']",['59']
6,160924,AFC Bournemouth,Everton FC,1,0,['23'],[]
6,160924,Liverpool FC,Hull City,5,1,"['17', '30', '36', '52', '71']",['51']
6,160924,Middlesbrough FC,Tottenham Hotspur,1,2,['65'],"['7', '23']"
6,160924,Stoke City,West Bromwich Albion,1,1,['73'],['90']
6,160924,Sunderland AFC,Crystal Palace,2,3,"['39', '60']","['61', '76', '90']"
6,160924,Swansea City,Manchester City,1,3,['13'],"['9', '65', '77']"
6,160924,Arsenal FC,Chelsea FC,3,0,"['11', '14', '40']",[]
6,160925,West Ham United,Southampton FC,0,3,[],"['40', '62', '90']"
6,160926,Burnley FC,Watford FC,2,0,"['38', '50']",[]
7,160930,Everton FC,Crystal Palace,1,1,['35'],['50']
7,161001,Swansea City,Liverpool FC,1,2,['8'],"['54', '84']"
7,161001,Hull City,Chelsea FC,0,2,[],"['61', '67']"
7,161001,Sunderland AFC,West Bromwich Albion,1,1,['83'],['35']
7,161001,Watford FC,AFC Bournemouth,2,2,"['50', '65']","['31', '62']"
7,161001,West Ham United,Middlesbrough FC,1,1,['57'],['51']
7,161002,Manchester United,Stoke City,1,1,['69'],['82']
7,161002,Leicester City,Southampton FC,0,0,[],[]
7,161002,Tottenham Hotspur,Manchester City,2,0,"['9', '37']",[]
7,161002,Burnley FC,Arsenal FC,0,1,[],['90']
8,161015,Chelsea FC,Leicester City,3,0,"['7', '33', '80']",[]
8,161015,AFC Bournemouth,Hull City,6,1,"['5', '41', '45', '65', '83', '88']",['34']
8,161015,Arsenal FC,Swansea City,3,2,"['26', '33', '57']","['38', '66']"
8,161015,Manchester City,Everton FC,1,1,['72'],['64']
8,161015,Stoke City,Sunderland AFC,2,0,"['8', '45']",[]
8,161015,West Bromwich Albion,Tottenham Hotspur,1,1,['82'],['89']
8,161015,Crystal Palace,West Ham United,0,1,[],['19']
8,161016,Middlesbrough FC,Watford FC,0,1,[],['54']
8,161016,Southampton FC,Burnley FC,3,1,"['52', '60', '66']",['72']
8,161017,Liverpool FC,Manchester United,0,0,[],[]
9,161022,AFC Bournemouth,Tottenham Hotspur,0,0,[],[]
9,161022,Arsenal FC,Middlesbrough FC,0,0,[],[]
9,161022,Burnley FC,Everton FC,2,1,"['39', '90']",['58']
9,161022,Hull City,Stoke City,0,2,[],"['26', '50']"
9,161022,Leicester City,Crystal Palace,3,1,"['42', '63', '80']",['85']
9,161022,Swansea City,Watford FC,0,0,[],[]
9,161022,West Ham United,Sunderland AFC,1,0,['90'],[]
9,161022,Liverpool FC,West Bromwich Albion,2,1,"['20', '35']",['81']
9,161023,Manchester City,Southampton FC,1,1,['55'],['27']
9,161023,Chelsea FC,Manchester United,4,0,"['1', '21', '62', '70']",[]
10,161029,Sunderland AFC,Arsenal FC,1,4,['65'],"['19', '71', '76', '78']"
10,161029,Manchester United,Burnley FC,0,0,[],[]
10,161029,Middlesbrough FC,AFC Bournemouth,2,0,"['39', '56']",[]
10,161029,Tottenham Hotspur,Leicester City,1,1,['44'],['48']
10,161029,Watford FC,Hull City,1,0,['82'],[]
10,161029,West Bromwich Albion,Manchester City,0,4,[],"['19', '28', '79', '90']"
10,161029,Crystal Palace,Liverpool FC,2,4,"['18', '33']","['16', '21', '44', '71']"
10,161030,Everton FC,West Ham United,2,0,"['50', '76']",[]
10,161030,Southampton FC,Chelsea FC,0,2,[],"['6', '55']"
10,161031,Stoke City,Swansea City,3,1,"['3', '55', '73']",['8']
11,161105,AFC Bournemouth,Sunderland AFC,1,2,['11'],"['33', '74']"
11,161105,Burnley FC,Crystal Palace,3,2,"['2', '14', '90']","['60', '81']"
11,161105,Manchester City,Middlesbrough FC,1,1,['43'],['90']
11,161105,West Ham United,Stoke City,1,1,['65'],['75']
11,161105,Chelsea FC,Everton FC,5,0,"['19', '20', '42', '56', '65']",[]
11,161106,Arsenal FC,Tottenham Hotspur,1,1,['42'],['51']
11,161106,Hull City,Southampton FC,2,1,"['61', '63']",['6']
11,161106,Liverpool FC,Watford FC,6,1,"['27', '30', '43', '57', '60', '90']",['75']
11,161106,Swansea City,Manchester United,1,3,['69'],"['15', '21', '33']"
11,161106,Leicester City,West Bromwich Albion,1,2,['55'],"['52', '72']"
12,161119,Manchester United,Arsenal FC,1,1,['68'],['89']
12,161119,Crystal Palace,Manchester City,1,2,['66'],"['39', '83']"
12,161119,Everton FC,Swansea City,1,1,['89'],['41']
12,161119,Southampton FC,Liverpool FC,0,0,[],[]
12,161119,Stoke City,AFC Bournemouth,0,1,[],['26']
12,161119,Sunderland AFC,Hull City,3,0,"['34', '62', '84']",[]
12,161119,Watford FC,Leicester City,2,1,"['1', '12']",['15']
12,161119,Tottenham Hotspur,West Ham United,3,2,"['51', '89', '90']","['24', '68']"
12,161120,Middlesbrough FC,Chelsea FC,0,1,[],['41']
12,161121,West Bromwich Albion,Burnley FC,4,0,"['4', '16', '37', '64']",[]
13,161126,Burnley FC,Manchester City,1,2,['14'],"['37', '60']"
13,161126,Hull City,West Bromwich Albion,1,1,['72'],['34']
13,161126,Leicester City,Middlesbrough FC,2,2,"['34', '90']","['13', '71']"
13,161126,Liverpool FC,Sunderland AFC,2,0,"['75', '90']",[]
13,161126,Swansea City,Crystal Palace,5,4,"['36', '66', '68', '90', '90']","['19', '75', '82', '84']"
13,161126,Chelsea FC,Tottenham Hotspur,2,1,"['45', '51']",['11']
13,161127,Watford FC,Stoke City,0,1,[],['29']
13,161127,Arsenal FC,AFC Bournemouth,3,1,"['12', '53', '90']",['23']
13,161127,Manchester United,West Ham United,1,1,['21'],['2']
13,161127,Southampton FC,Everton FC,1,0,['1'],[]
14,161203,Manchester City,Chelsea FC,1,3,['45'],"['60', '70', '90']"
14,161203,Crystal Palace,Southampton FC,3,0,"['33', '36', '85']",[]
14,161203,Stoke City,Burnley FC,2,0,"['20', '35']",[]
14,161203,Sunderland AFC,Leicester City,2,1,"['64', '77']",['80']
14,161203,Tottenham Hotspur,Swansea City,5,0,"['39', '45', '49', '70', '90']",[]
14,161203,West Bromwich Albion,Watford FC,3,1,"['16', '34', '90']",['60']
14,161203,West Ham United,Arsenal FC,1,5,['83'],"['24', '72', '80', '84', '86']"
14,161204,AFC Bournemouth,Liverpool FC,4,3,"['56', '76', '78', '90']","['20', '22', '64']"
14,161204,Everton FC,Manchester United,1,1,['89'],['42']
14,161205,Middlesbrough FC,Hull City,1,0,['60'],[]
15,161210,Watford FC,Everton FC,3,2,"['36', '59', '64']","['17', '86']"
15,161210,Arsenal FC,Stoke City,3,1,"['42', '49', '75']",['29']
15,161210,Burnley FC,AFC Bournemouth,3,2,"['13', '16', '75']","['45', '90']"
15,161210,Hull City,Crystal Palace,3,3,"['27', '72', '78']","['52', '70', '89']"
15,161210,Swansea City,Sunderland AFC,3,0,"['51', '54', '80']",[]
15,161210,Leicester City,Manchester City,4,2,"['3', '5', '20', '78']","['82', '90']"
